Date,Open,High,Low,Close,Volume
2022-03-21 08:00:00,2889.38,2901.5,2879.08,2881.12,16568.4639
2022-03-21 09:00:00,2881.12,2916.0,2873.34,2912.31,17934.0235
2022-03-21 10:00:00,2912.31,2919.99,2901.38,2910.28,14631.1371
2022-03-21 11:00:00,2910.29,2924.17,2903.17,2906.02,13215.406
2022-03-21 12:00:00,2906.01,2918.46,2887.0,2912.94,20208.7108
2022-03-21 13:00:00,2912.94,2944.96,2912.93,2914.12,35598.9461
2022-03-21 14:00:00,2914.11,2925.33,2892.79,2924.06,36948.9693
2022-03-21 15:00:00,2924.06,2956.67,2916.83,2955.0,43044.6521
2022-03-21 16:00:00,2955.0,2960.57,2904.15,2906.39,33747.2232
2022-03-21 17:00:00,2906.4,2928.78,2896.48,2920.45,23874.4773
2022-03-21 18:00:00,2920.45,2925.75,2904.0,2904.8,13315.1013
2022-03-21 19:00:00,2904.81,2918.89,2895.0,2917.96,15049.2917
2022-03-21 20:00:00,2917.96,2923.79,2909.89,2909.89,8951.7384
2022-03-21 21:00:00,2909.89,2921.28,2899.42,2921.04,9717.8155
2022-03-21 22:00:00,2921.05,2921.5,2908.0,2908.09,10523.9353
2022-03-21 23:00:00,2908.08,2912.06,2882.63,2890.03,13438.7629
2022-03-22 00:00:00,2890.03,2906.99,2886.43,2903.86,13024.9026
2022-03-22 01:00:00,2903.85,2912.32,2889.21,2898.46,8752.4134
2022-03-22 02:00:00,2898.47,2977.94,2895.82,2963.99,57130.374
2022-03-22 03:00:00,2963.99,3030.0,2963.99,3006.83,75678.5592
2022-03-22 04:00:00,3006.91,3052.85,3006.88,3027.73,55503.5556
2022-03-22 05:00:00,3027.73,3032.11,3011.38,3012.64,18876.7694
2022-03-22 06:00:00,3012.65,3012.99,2965.24,2984.73,41052.1223
2022-03-22 07:00:00,2984.72,2996.1,2982.0,2993.0,13588.0003
2022-03-22 08:00:00,2993.0,3027.27,2985.0,3013.61,25121.0906
2022-03-22 09:00:00,3013.62,3016.06,2996.42,3006.02,16878.7079
2022-03-22 10:00:00,3006.03,3020.94,3000.0,3019.17,17069.8365
2022-03-22 11:00:00,3019.16,3026.27,3007.41,3020.74,19869.0389
